Raton,Grupo,Region,Antigeno,Reestimulacion
1,A,Peritoneo,1,87.80487611
2,A,Peritoneo,1,110.9756138
3,A,Peritoneo,1,95.01660951
4,A,Peritoneo,1,81.72757097
5,A,Peritoneo,1,89.35185297
6,A,Peritoneo,1,129.4797611
7,A,Peritoneo,1,123.6994242
8,A,Peritoneo,1,112.2806993
9,A,Peritoneo,1,125.4385963
10,A,Peritoneo,1,109.7222188
11,A,Peritoneo,1,112.5000049
1,B,Peritoneo,1,116.9398949
2,B,Peritoneo,1,95.08196796
3,B,Peritoneo,1,67.1052665
4,B,Peritoneo,1,63.81579223
5,B,Peritoneo,1,102.590674
6,B,Peritoneo,1,109.8445574
7,B,Peritoneo,1,71.73913087
8,B,Peritoneo,1,85.86956881
1,C,Peritoneo,1,74.91638421
2,C,Peritoneo,1,74.91638421
3,C,Peritoneo,1,95.07042438
4,C,Peritoneo,1,96.47887269
5,C,Peritoneo,1,85.33333823
6,C,Peritoneo,1,77.86666928
7,C,Peritoneo,1,85.25714849
8,C,Peritoneo,1,78.85714222
1,D,Peritoneo,1,120.279725
2,D,Peritoneo,1,100.6992995
3,D,Peritoneo,1,107.2961411
4,D,Peritoneo,1,116.7382013
5,D,Peritoneo,1,82.11206773
6,D,Peritoneo,1,92.45689352
7,D,Peritoneo,1,108.1818213
8,D,Peritoneo,1,83.63636595
9,D,Peritoneo,1,105.3254402
10,D,Peritoneo,1,110.0591709
11,D,Peritoneo,1,103.1055877
12,D,Peritoneo,1,85.71428406
1,I,Peritoneo,1,NA
2,I,Peritoneo,1,167.07317
3,I,Peritoneo,1,170.7317117
4,I,Peritoneo,1,69.87951753
5,I,Peritoneo,1,68.27309459
6,I,Peritoneo,1,71.49123088
7,I,Peritoneo,1,78.0701754
8,I,Peritoneo,1,75.69573598
9,I,Peritoneo,1,65.67717933
10,I,Peritoneo,1,123.5955015
11,I,Peritoneo,1,107.8651707
12,I,Peritoneo,1,84.80000159
13,I,Peritoneo,1,173.3333201
14,I,Peritoneo,1,84.76190383
15,I,Peritoneo,1,84.76190383
1,J,Peritoneo,1,76.00848987
2,J,Peritoneo,1,72.61146804
3,J,Peritoneo,1,83.74999833
4,J,Peritoneo,1,67.81250195
5,J,Peritoneo,1,81.58730009
6,J,Peritoneo,1,69.8412704
7,J,Peritoneo,1,77.98742016
8,J,Peritoneo,1,70.0209612
9,J,Peritoneo,1,126.8292749
10,J,Peritoneo,1,114.9825791
11,J,Peritoneo,1,130.4878097
12,J,Peritoneo,1,126.829268
13,J,Peritoneo,1,129.2307681
14,J,Peritoneo,1,130.5494471
15,J,Peritoneo,1,101.0581993
16,J,Peritoneo,1,93.65079443
1,A,Peritoneo,2,134.1463401
2,A,Peritoneo,2,110.9756138
3,A,Peritoneo,2,128.2392018
4,A,Peritoneo,2,112.2923604
5,A,Peritoneo,2,79.1666681
6,A,Peritoneo,2,106.3583813
7,A,Peritoneo,2,99.42196631
8,A,Peritoneo,2,70.17544218
9,A,Peritoneo,2,73.68420816
