Ratón,Grupo,Peri_1,Peri_2,Peri_3,Peri_4,Peri_5,Peri_6,Peri_7,Peri_8,Peri_9,Bazo_1,Bazo_2,Bazo_3,Bazo_4,Bazo_5,Bazo_6,Bazo_7,Bazo_8,Bazo_9
1,A,87.80487611,134.1463401,184.1463458,132.92683,108.5365822,126.829268,108.5365822,NA,NA,125.6198375,155.3718994,152.0661199,130.5785068,160.3305841,115.7024835,170.2479381,238.0165261,138.842971
2,A,110.9756138,110.9756138,149.9999943,120.7317061,113.414634,157.3170777,135.3658502,160.9756081,102.4390202,157.0247892,153.7190097,140.4958762,130.5785068,148.760325,122.3140503,175.2066074,153.7190097,128.925617
3,A,95.01660951,128.2392018,117.3864865,22.8128462,27.46400928,56.03543638,21.70542632,81.0631244,69.98892149,116.3398658,108.4967297,92.8104576,108.4967297,117.6470531,162.091507,137.2548993,322.8758267,166.013069
4,A,81.72757097,112.2923604,132.4473936,21.92690989,33.00110661,46.2901431,31.45071961,109.1915823,109.41307,108.4967297,98.03921294,101.960781,81.0457535,109.803917,74.50980476,125.4902013,118.9542526,101.960781
5,A,89.35185297,79.1666681,149.5370292,121.2962941,105.5555546,99.53703784,NA,106.9444411,73.14814272,143.3628369,141.5929284,113.2743345,125.6637188,136.2831864,90.26549081,109.7345174,207.0796423,196.4601747
6,A,129.4797611,106.3583813,127.1676263,139.884389,139.884389,132.947974,141.0404563,116.7629984,94.79768606,123.8938103,134.5132778,116.8141597,111.5044259,123.8938103,116.8141597,123.8938103,223.0088519,130.9734526
7,A,123.6994242,99.42196631,200,93.64161868,100.5780337,130.6358392,120.2312113,91.32947317,71.67630092,112.9411819,117.6470562,107.058828,108.2352966,115.2941191,108.2352966,118.8235248,81.17646969,89.41176625
8,A,112.2806993,70.17544218,50.00000102,63.15789388,72.80701667,51.7543881,122.8070218,226.315798,127.1929792,110.5882337,98.82352593,92.94117202,117.6470562,104.7058798,124.7058787,69.41176735,89.41176625,108.2352966
1,B,116.9398949,126.7759539,157.3770455,159.5628443,127.8688482,180.3278668,158.4699398,275.4098347,135.5191287,122.8571473,121.4285783,148.5714293,135.7142817,131.4285747,114.28572,119.999996,234.285716,127.1428543
2,B,95.08196796,93.98907365,115.8469904,115.8469904,113.6612018,133.3333299,127.8688482,71.0382524,89.61748623,111.4285687,107.142855,134.2857127,102.8571413,112.8571377,109.9999997,148.5714293,277.142866,127.1428543
3,B,67.1052665,77.30263,116.4473683,104.2763178,30.92105261,32.23684293,96.38158198,86.51315917,50.98684197,117.9487198,133.3333333,135.0427322,119.6581266,143.5897424,124.7863311,155.5555662,85.47008588,160.6837627
4,B,63.81579223,79.93421064,91.1184207,63.15789861,47.69736771,64.80263268,86.51315917,67.76316013,58.88157777,145.2991571,97.43590172,164.1025763,117.9487198,111.1111164,124.7863311,128.2051288,100.8547074,121.3675254
5,B,102.590674,74.09326457,118.1347182,101.0362725,98.96372749,103.1088079,101.0362725,109.8445574,72.53886305,133.7931027,121.3793054,129.6551659,131.0344739,128.275858,124.1379213,107.5862002,314.4827528,159.9999923
6,B,109.8445574,91.19171024,112.4352363,92.22797792,97.92745981,87.56476371,83.41969299,94.81865678,80.3108803,128.275858,148.9655158,135.1724106,92.41378699,86.89654876,166.8965449,133.7931027,394.4827425,180.6896501
7,B,71.73913087,86.23188704,114.4927494,121.014491,94.92753804,119.9275431,137.6811566,123.1884139,85.1449256,114.7058777,123.5294057,142.6470611,95.588236,110.2941137,130.882348,111.7647063,269.117652,133.8235331
8,B,85.86956881,84.42028915,102.1739161,92.02898546,85.50725058,115.9420358,111.5942036,106.1594234,73.18840379,125.0000051,132.3529337,122.05882,104.411764,94.11764343,120.5882343,98.52940743,254.4117674,123.5294057
1,C,74.91638421,67.55852482,72.90969868,67.55852482,76.25418079,83.61204018,81.60534842,125.7525047,100.3344445,145.2631538,160,160,157.8947307,183.1578942,181.0526347,170.5263173,166.3157786,221.0526249
